node_id,type,x,y,demand,Q,k,L,B
1,-1,40,40,0,220,6,60,15
2,0,22,22,18,,,,
3,0,36,26,26,,,,
4,0,21,45,11,,,,
5,0,45,35,30,,,,
6,1,55,20,21,,,,
7,0,33,34,19,,,,
8,0,50,50,15,,,,
9,0,55,45,16,,,,
10,0,26,59,29,,,,
11,1,40,66,26,,,,
12,0,55,65,37,,,,
13,0,35,51,16,,,,
14,0,62,35,12,,,,
15,0,62,57,31,,,,
16,1,62,24,8,,,,
17,0,21,36,19,,,,
18,0,33,44,20,,,,
19,0,9,56,13,,,,
20,0,62,48,15,,,,
21,1,66,14,22,,,,
22,0,44,13,28,,,,
23,0,26,13,12,,,,
24,0,11,28,6,,,,
25,0,7,43,27,,,,
26,1,17,64,14,,,,
27,0,41,46,18,,,,
28,0,55,34,17,,,,
29,0,35,16,29,,,,
30,0,52,26,13,,,,
31,1,43,26,22,,,,
32,0,31,76,25,,,,
33,0,22,53,28,,,,
34,0,26,29,27,,,,
35,0,50,40,19,,,,
36,1,55,50,10,,,,
37,0,54,10,12,,,,
38,0,60,15,14,,,,
39,0,47,66,24,,,,
40,0,30,60,16,,,,
41,1,30,50,33,,,,
42,0,12,17,15,,,,
43,0,15,14,11,,,,
44,0,16,19,18,,,,
45,0,21,48,17,,,,
46,1,50,30,21,,,,
47,0,51,42,27,,,,
48,0,50,15,19,,,,
49,0,48,21,20,,,,
50,0,12,38,5,,,,
51,1,15,56,22,,,,
52,0,29,39,12,,,,
53,0,54,38,19,,,,
54,0,55,57,22,,,,
55,0,67,41,16,,,,
56,1,10,70,7,,,,
57,0,6,25,26,,,,
58,0,65,27,14,,,,
59,0,40,60,21,,,,
60,0,70,64,24,,,,
61,1,64,4,13,,,,
62,0,36,6,15,,,,
63,0,30,20,18,,,,
64,0,20,30,11,,,,
65,0,15,5,28,,,,
66,1,50,70,9,,,,
67,0,57,72,37,,,,
68,0,45,42,30,,,,
69,0,38,33,10,,,,
70,0,50,4,8,,,,
71,1,66,8,11,,,,
72,0,59,5,3,,,,
73,0,35,60,1,,,,
74,0,27,24,6,,,,
75,0,40,20,10,,,,
76,1,40,37,20,,,,
