node_id,type,x,y,demand,Q,k,L,B
1,-1,292,495,0,8000,3,22,10
2,0,298,427,700,,,,
3,0,309,445,400,,,,
4,1,307,464,400,,,,
5,0,336,475,1200,,,,
6,0,320,439,40,,,,
7,1,321,437,80,,,,
8,0,322,437,2000,,,,
9,0,323,433,900,,,,
10,1,324,433,600,,,,
11,0,323,429,750,,,,
12,0,314,435,1500,,,,
13,1,311,442,150,,,,
14,0,304,427,250,,,,
15,0,293,421,1600,,,,
16,1,296,418,450,,,,
17,0,261,384,700,,,,
18,0,297,410,550,,,,
19,1,315,407,650,,,,
20,0,314,406,200,,,,
21,0,321,391,400,,,,
22,1,321,398,300,,,,
23,0,314,394,1300,,,,
24,0,313,378,700,,,,
25,1,304,382,750,,,,
26,0,295,402,1400,,,,
27,0,283,406,4000,,,,
28,1,279,399,600,,,,
29,0,271,401,1000,,,,
30,0,264,414,500,,,,
31,1,277,439,2500,,,,
32,0,290,434,1700,,,,
33,0,319,433,1100,,,,
