node_id,type,x,y,demand,Q,k,L,B
1,-1,35,35,0,200,6,80,20
2,0,41,49,10,,,,
3,0,35,17,7,,,,
4,0,55,45,13,,,,
5,0,55,20,19,,,,
6,1,15,30,26,,,,
7,0,25,30,3,,,,
8,0,20,50,5,,,,
9,0,10,43,9,,,,
10,0,55,60,16,,,,
11,1,30,60,16,,,,
12,0,20,65,12,,,,
13,0,50,35,19,,,,
14,0,30,25,23,,,,
15,0,15,10,20,,,,
16,1,30,5,8,,,,
17,0,10,20,19,,,,
18,0,5,30,2,,,,
19,0,20,40,12,,,,
20,0,15,60,17,,,,
21,1,45,65,9,,,,
22,0,45,20,11,,,,
23,0,45,10,18,,,,
24,0,55,5,29,,,,
25,0,65,35,3,,,,
26,1,65,20,6,,,,
27,0,45,30,17,,,,
28,0,35,40,16,,,,
29,0,41,37,16,,,,
30,0,64,42,9,,,,
31,1,40,60,21,,,,
32,0,31,52,27,,,,
33,0,35,69,23,,,,
34,0,53,52,11,,,,
35,0,65,55,14,,,,
36,1,63,65,8,,,,
37,0,2,60,5,,,,
38,0,20,20,8,,,,
39,0,5,5,16,,,,
40,0,60,12,31,,,,
41,1,40,25,9,,,,
42,0,42,7,5,,,,
43,0,24,12,5,,,,
44,0,23,3,7,,,,
45,0,11,14,18,,,,
46,1,6,38,16,,,,
47,0,2,48,1,,,,
48,0,8,56,27,,,,
49,0,13,52,36,,,,
50,0,6,68,30,,,,
51,1,47,47,13,,,,
52,0,49,58,10,,,,
53,0,27,43,9,,,,
54,0,37,31,14,,,,
55,0,57,29,18,,,,
56,1,63,23,2,,,,
57,0,53,12,6,,,,
58,0,32,12,7,,,,
59,0,36,26,18,,,,
60,0,21,24,28,,,,
61,1,17,34,3,,,,
62,0,12,24,13,,,,
63,0,24,58,19,,,,
64,0,27,69,10,,,,
65,0,15,77,9,,,,
66,1,62,77,20,,,,
67,0,49,73,25,,,,
68,0,67,5,25,,,,
69,0,56,39,36,,,,
70,0,37,47,6,,,,
71,1,37,56,5,,,,
72,0,57,68,15,,,,
73,0,47,16,25,,,,
74,0,44,17,9,,,,
75,0,46,13,8,,,,
76,1,49,11,18,,,,
77,0,49,42,13,,,,
78,0,53,43,14,,,,
79,0,61,52,3,,,,
80,0,57,48,23,,,,
81,1,56,37,6,,,,
82,0,55,54,26,,,,
83,0,15,47,16,,,,
84,0,14,37,11,,,,
85,0,11,31,7,,,,
86,1,16,22,41,,,,
87,0,4,18,35,,,,
88,0,28,18,26,,,,
89,0,26,52,9,,,,
90,0,26,35,15,,,,
91,1,31,67,3,,,,
92,0,15,19,1,,,,
93,0,22,22,2,,,,
94,0,18,24,22,,,,
95,0,26,27,27,,,,
96,1,25,24,20,,,,
97,0,22,27,11,,,,
98,0,25,21,12,,,,
99,0,19,21,10,,,,
100,0,20,26,9,,,,
101,1,18,18,17,,,,
