node_id,type,x,y,demand,Q,k,L,B
1,-1,162,354,0,4500,3,20,9
2,0,218,382,300,,,,
3,0,218,358,3100,,,,
4,1,201,370,125,,,,
5,0,214,371,100,,,,
6,0,224,370,200,,,,
7,1,210,382,150,,,,
8,0,104,354,150,,,,
9,0,126,338,450,,,,
10,1,119,340,300,,,,
11,0,129,349,100,,,,
12,0,126,347,950,,,,
13,1,125,346,125,,,,
14,0,116,355,150,,,,
15,0,126,335,150,,,,
16,1,125,355,550,,,,
17,0,119,357,150,,,,
18,0,115,341,100,,,,
19,1,153,351,150,,,,
20,0,175,363,400,,,,
21,0,180,360,300,,,,
22,1,159,331,1500,,,,
23,0,188,357,100,,,,
24,0,152,349,300,,,,
25,1,215,389,500,,,,
26,0,212,394,800,,,,
27,0,188,393,300,,,,
28,1,207,406,100,,,,
29,0,184,410,150,,,,
30,0,207,392,1000,,,,
