node_id,type,x,y,demand,Q,k,L,B
1,-1,266,235,0,4500,2,15,7
2,0,295,272,125,,,,
3,0,301,258,84,,,,
4,1,309,260,60,,,,
5,0,217,274,500,,,,
6,0,218,278,300,,,,
7,1,282,267,175,,,,
8,0,242,249,350,,,,
9,0,230,262,150,,,,
10,1,249,268,1100,,,,
11,0,256,267,4100,,,,
12,0,265,257,225,,,,
13,1,267,242,300,,,,
14,0,259,265,250,,,,
15,0,315,233,500,,,,
16,1,329,252,150,,,,
17,0,318,252,100,,,,
18,0,329,224,250,,,,
19,1,267,213,120,,,,
20,0,275,192,600,,,,
21,0,303,201,500,,,,
22,1,208,217,175,,,,
23,0,326,181,75,,,,
