node_id,type,x,y,demand,Q,k,L,B
1,-1,162,354,0,4500,2,15,14
2,0,218,382,300,,,,
3,1,218,358,3100,,,,
4,0,201,370,125,,,,
5,1,214,371,100,,,,
6,0,224,370,200,,,,
7,1,210,382,150,,,,
8,0,104,354,150,,,,
9,1,126,338,450,,,,
10,0,119,340,300,,,,
11,1,129,349,100,,,,
12,0,126,347,950,,,,
13,1,125,346,125,,,,
14,0,116,355,150,,,,
15,1,126,335,150,,,,
16,0,125,355,550,,,,
17,1,119,357,150,,,,
18,0,115,341,100,,,,
19,1,153,351,150,,,,
20,0,175,363,400,,,,
21,1,180,360,300,,,,
22,0,159,331,1500,,,,
23,1,188,357,100,,,,
24,0,152,349,300,,,,
25,1,215,389,500,,,,
26,0,212,394,800,,,,
27,1,188,393,300,,,,
28,0,207,406,100,,,,
29,1,184,410,150,,,,
30,0,207,392,1000,,,,
