node_id,type,x,y,demand,Q,k,L,B
1,-1,30,40,0,160,4,40,10
2,0,37,52,7,,,,
3,0,49,49,30,,,,
4,0,52,64,16,,,,
5,0,20,26,9,,,,
6,1,40,30,21,,,,
7,0,21,47,15,,,,
8,0,17,63,19,,,,
9,0,31,62,23,,,,
10,0,52,33,11,,,,
11,1,51,21,5,,,,
12,0,42,41,19,,,,
13,0,31,32,29,,,,
14,0,5,25,23,,,,
15,0,12,42,21,,,,
16,1,36,16,10,,,,
17,0,52,41,15,,,,
18,0,27,23,3,,,,
19,0,17,33,41,,,,
20,0,13,13,9,,,,
21,1,57,58,28,,,,
22,0,62,42,8,,,,
23,0,42,57,8,,,,
24,0,16,57,16,,,,
25,0,8,52,10,,,,
26,1,7,38,28,,,,
27,0,27,68,7,,,,
28,0,30,48,15,,,,
29,0,43,67,14,,,,
30,0,58,48,6,,,,
31,1,58,27,19,,,,
32,0,37,69,11,,,,
33,0,38,46,12,,,,
34,0,46,10,23,,,,
35,0,61,33,26,,,,
36,1,62,63,17,,,,
37,0,63,69,6,,,,
38,0,32,22,9,,,,
39,0,45,35,15,,,,
40,0,59,15,14,,,,
41,1,5,6,7,,,,
42,0,10,17,27,,,,
43,0,21,10,13,,,,
44,0,5,64,11,,,,
45,0,30,15,16,,,,
46,1,39,10,10,,,,
47,0,32,39,5,,,,
48,0,25,32,25,,,,
49,0,25,55,17,,,,
50,0,48,28,18,,,,
51,1,56,37,10,,,,
