node_id,type,x,y,demand,Q,k,L,B
1,-1,30,40,0,160,3,25,25
2,0,37,52,7,,,,
3,1,49,49,30,,,,
4,0,52,64,16,,,,
5,1,20,26,9,,,,
6,0,40,30,21,,,,
7,1,21,47,15,,,,
8,0,17,63,19,,,,
9,1,31,62,23,,,,
10,0,52,33,11,,,,
11,1,51,21,5,,,,
12,0,42,41,19,,,,
13,1,31,32,29,,,,
14,0,5,25,23,,,,
15,1,12,42,21,,,,
16,0,36,16,10,,,,
17,1,52,41,15,,,,
18,0,27,23,3,,,,
19,1,17,33,41,,,,
20,0,13,13,9,,,,
21,1,57,58,28,,,,
22,0,62,42,8,,,,
23,1,42,57,8,,,,
24,0,16,57,16,,,,
25,1,8,52,10,,,,
26,0,7,38,28,,,,
27,1,27,68,7,,,,
28,0,30,48,15,,,,
29,1,43,67,14,,,,
30,0,58,48,6,,,,
31,1,58,27,19,,,,
32,0,37,69,11,,,,
33,1,38,46,12,,,,
34,0,46,10,23,,,,
35,1,61,33,26,,,,
36,0,62,63,17,,,,
37,1,63,69,6,,,,
38,0,32,22,9,,,,
39,1,45,35,15,,,,
40,0,59,15,14,,,,
41,1,5,6,7,,,,
42,0,10,17,27,,,,
43,1,21,10,13,,,,
44,0,5,64,11,,,,
45,1,30,15,16,,,,
46,0,39,10,10,,,,
47,1,32,39,5,,,,
48,0,25,32,25,,,,
49,1,25,55,17,,,,
50,0,48,28,18,,,,
51,1,56,37,10,,,,
