node_id,type,x,y,demand,Q,k,L,B
1,-1,145,215,0,6000,3,17,4
2,0,151,264,1100,,,,
3,0,159,261,700,,,,
4,0,130,254,800,,,,
5,0,128,252,1400,,,,
6,1,163,247,2100,,,,
7,0,146,246,400,,,,
8,0,161,242,800,,,,
9,0,142,239,100,,,,
10,0,163,236,500,,,,
11,1,148,232,600,,,,
12,0,128,231,1200,,,,
13,0,156,217,1300,,,,
14,0,129,214,1300,,,,
15,0,146,208,300,,,,
16,1,164,208,900,,,,
17,0,141,206,2100,,,,
18,0,147,193,1000,,,,
19,0,164,193,900,,,,
20,0,129,189,2500,,,,
21,1,155,185,1800,,,,
22,0,139,182,700,,,,
